t_h,Xylan_gL,Xylose_gL,XOS_gL,X_eng_gL,X_bifido_gL,SCFA_gL,T_C,pH,DO_mgL
29.8,9.970121427747776,0.010121298699864927,0.018142133251121392,23.639782366046017,0.008437269487846186,0.0002634561819282939,30.25271292605231,6.500031241135331,5.357537996877246
29.900000000000002,9.969514123984125,0.010326557654609074,0.018518854561349177,24.118882528916643,0.008430270594096921,0.00026564911038752086,30.26397284689476,6.500029014686033,5.336160153181512
30.0,9.96889297234769,0.01053651496110872,0.018904199952639863,24.60893640701764,0.008423312867828348,0.00026787058368860127,30.275515875064794,6.500026843166216,5.314208192697788
30.1,9.968257588008953,0.010751301930112634,0.01929840778318591,25.11024948785435,0.0084163972877305,0.0002701216453831306,30.287349853663233,6.5000247248093,5.291662485689234
30.200000000000003,9.96760757242053,0.010971054582360716,0.01970172485504521,25.62313817995028,0.008409524871280293,0.0002724033867355794,30.299482904594683,6.500022657895658,5.268502548973549
30.3,9.966942512695162,0.011195913863325675,0.020114406794528215,26.147930308560117,0.00840269667666611,0.00027471694946927544,30.311923441168293,6.500020640750987,5.24470700051342
30.400000000000002,9.966261980949236,0.011426025869897508,0.020536718453505454,26.684965638805476,0.008395913804827349,0.0002770635287013268,30.324680181393617,6.500018671744711,5.220253511159923
30.5,9.965565533609636,0.011661542089791414,0.020968934332987535,27.234596428014655,0.008389177401617005,0.00027944437608154145,30.337762162016578,6.500016749288422,5.195118753344052
30.6,9.964852710681509,0.01190261965451832,0.02141133903043091,27.797188009181014,0.008382488660095843,0.00028186080315176356,30.351178753343994,6.500014871834341,5.169278346495091
30.700000000000003,9.964123034974346,0.012149421606820232,0.02186422771232946,28.37311940759672,0.008375848822967538,0.000284314184943537,30.364939674908708,6.50001303787382,5.142706798946443
30.8,9.963376011283602,0.012402117183541676,0.022327906613770886,28.962783992875345,0.008369259185164814,0.0002868059638336606,30.379055012031216,6.500011245935858,5.115377446069915
30.900000000000002,9.962611125524838,0.012660882114982808,0.022802693566763264,29.566590168744625,0.008362721096597513,0.00028933765367901643,30.393535233338067,6.500009494585651,5.087262384357971
31.0,9.961827843817183,0.012925898941860633,0.023288918559275232,30.18496210317388,0.008356235965074314,0.00029191084425405457,30.40839120930196,6.500007782423154,5.058332401150109
31.1,9.961025611512607,0.013197357351093245,0.023786924327084118,30.818340501599902,0.008349805259410932,0.00029452720601654084,30.423634231873212,6.500006108081674,5.02855689967388
31.200000000000003,9.960203852167254,0.013475454531716991,0.024297066980687766,31.467183426230104,0.008343430512738535,0.0002971884952296134,30.439276035278056,6.500004470226468,4.997903819043263
31.3,9.959361966450798,0.01376039555235122,0.024819716669714192,32.13196716463768,0.008337113326027415,0.0002998965594709133,30.455328818064988,6.50000286755337,4.966339548826439
31.400000000000002,9.958499330989424,0.014052393761738217,0.025355258287454826,32.81318715111832,0.008330855371842142,0.0003026533435625464,30.471805266486847,6.500001298787416,4.9338288377617285
31.5,9.957615297137716,0.014351671214009471,0.025904092218356656,33.51135894455613,0.008324658398345806,0.00030546089595896226,30.488718579313343,6.49999976268149,4.90033469616384
31.6,9.956709189674342,0.0146584591204644,0.026466635131537398,34.22701926685024,0.008318524233572547,0.0003083213756335271,30.506082494176397,6.499998258014975,4.865818291522529
