t_s,T_actual,T_target,pid_output,p_heater_w,p_peltier_w,peltier_on,peltier_auto
375.0,35.007,35.0,0.0498,4.98,0.0,0,1
376.0,35.007,35.0,0.0498,4.98,0.0,0,1
377.0,35.007,35.0,0.0498,4.98,0.0,0,1
378.0,35.007,35.0,0.0498,4.98,0.0,0,1
379.0,35.007,35.0,0.0498,4.98,0.0,0,1
380.0,35.007,35.0,0.0498,4.98,0.0,0,1
381.0,35.007,35.0,0.0498,4.98,0.0,0,1
382.0,35.007,35.0,0.0498,4.98,0.0,0,1
383.0,35.006,35.0,0.0498,4.98,0.0,0,1
384.0,35.006,35.0,0.0498,4.98,0.0,0,1
385.0,35.006,35.0,0.0498,4.98,0.0,0,1
386.0,35.006,35.0,0.0498,4.98,0.0,0,1
387.0,35.006,35.0,0.0498,4.98,0.0,0,1
388.0,35.006,35.0,0.0498,4.98,0.0,0,1
389.0,35.006,35.0,0.0498,4.98,0.0,0,1
390.0,35.006,35.0,0.0498,4.98,0.0,0,1
391.0,35.006,35.0,0.0498,4.98,0.0,0,1
392.0,35.006,35.0,0.0498,4.98,0.0,0,1
393.0,35.005,35.0,0.0498,4.98,0.0,0,1
394.0,35.005,35.0,0.0498,4.98,0.0,0,1
395.0,35.005,35.0,0.0498,4.98,0.0,0,1
396.0,35.005,35.0,0.0498,4.98,0.0,0,1
397.0,35.005,35.0,0.0499,4.99,0.0,0,1
398.0,35.005,35.0,0.0499,4.99,0.0,0,1
399.0,35.005,35.0,0.0499,4.99,0.0,0,1
400.0,35.005,35.0,0.0499,4.99,0.0,0,1
401.0,35.005,35.0,0.0499,4.99,0.0,0,1
402.0,35.005,35.0,0.0499,4.99,0.0,0,1
403.0,35.005,35.0,0.0499,4.99,0.0,0,1
404.0,35.004,35.0,0.0499,4.99,0.0,0,1
405.0,35.004,35.0,0.0499,4.99,0.0,0,1
406.0,35.004,35.0,0.0499,4.99,0.0,0,1
407.0,35.004,35.0,0.0499,4.99,0.0,0,1
408.0,35.004,35.0,0.0499,4.99,0.0,0,1
409.0,35.004,35.0,0.0499,4.99,0.0,0,1
410.0,35.004,35.0,0.0499,4.99,0.0,0,1
411.0,35.004,35.0,0.0499,4.99,0.0,0,1
412.0,35.004,35.0,0.0499,4.99,0.0,0,1
413.0,35.004,35.0,0.0499,4.99,0.0,0,1
414.0,35.004,35.0,0.0499,4.99,0.0,0,1
415.0,35.004,35.0,0.0499,4.99,0.0,0,1
416.0,35.004,35.0,0.0499,4.99,0.0,0,1
417.0,35.004,35.0,0.0499,4.99,0.0,0,1
418.0,35.004,35.0,0.0499,4.99,0.0,0,1
419.0,35.003,35.0,0.0499,4.99,0.0,0,1
420.0,35.003,35.0,0.0499,4.99,0.0,0,1
421.0,35.003,35.0,0.0499,4.99,0.0,0,1
422.0,35.003,35.0,0.0499,4.99,0.0,0,1
423.0,35.003,35.0,0.0499,4.99,0.0,0,1
424.0,35.003,35.0,0.0499,4.99,0.0,0,1
425.0,35.003,35.0,0.0499,4.99,0.0,0,1
426.0,35.003,35.0,0.0499,4.99,0.0,0,1
427.0,35.003,35.0,0.0499,4.99,0.0,0,1
428.0,35.003,35.0,0.0499,4.99,0.0,0,1
429.0,35.003,35.0,0.0499,4.99,0.0,0,1
430.0,35.003,35.0,0.0499,4.99,0.0,0,1
431.0,35.003,35.0,0.0499,4.99,0.0,0,1
432.0,35.003,35.0,0.0499,4.99,0.0,0,1
433.0,35.003,35.0,0.0499,4.99,0.0,0,1
434.0,35.003,35.0,0.0499,4.99,0.0,0,1
435.0,35.003,35.0,0.0499,4.99,0.0,0,1
436.0,35.003,35.0,0.0499,4.99,0.0,0,1
437.0,35.003,35.0,0.0499,4.99,0.0,0,1
438.0,35.003,35.0,0.0499,4.99,0.0,0,1
439.0,35.002,35.0,0.0499,4.99,0.0,0,1
440.0,35.002,35.0,0.0499,4.99,0.0,0,1
441.0,35.002,35.0,0.0499,4.99,0.0,0,1
442.0,35.002,35.0,0.0499,4.99,0.0,0,1
443.0,35.002,35.0,0.0499,4.99,0.0,0,1
444.0,35.002,35.0,0.0499,4.99,0.0,0,1
445.0,35.002,35.0,0.0499,4.99,0.0,0,1
446.0,35.002,35.0,0.0499,4.99,0.0,0,1
447.0,35.002,35.0,0.0499,4.99,0.0,0,1
448.0,35.002,35.0,0.0499,4.99,0.0,0,1
449.0,35.002,35.0,0.0499,4.99,0.0,0,1
